product_key,product_code,product_gender,product_material,product_style,product_colour,product_branding,product_fault_indicator,product_category,product_brand,product_is_current
147,1228 COL 716,Unisex,N/A,N/A,N/A,N/A,N/A,Parts,F,1
148,1229COL801/48,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
149,1230COL801/48,Female,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
150,1231COL700,Female,Plastic,N/A,N/A,N/A,N/A,Product,G,1
151,1231COL740,Female,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
152,1233COL700,Female,Plastic,N/A,N/A,N/A,N/A,Product,G,1
153,1233COL740,Female,Plastic,N/A,N/A,N/A,N/A,Product,G,1
154,1233COL880,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
155,1234COL740/46,Unisex,N/A,N/A,N/A,N/A,N/A,Parts,F,1
156,1235COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
157,1235COL740,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
158,1235COL740/47,Unisex,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
159,1235COL880,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
160,1236 COL 880,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
161,1239COL710/50,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
162,124 COL 9967,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,H,1
163,1240COL710/51,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
164,1243COL801,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
165,1244COL801,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
166,1244COL880,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
167,1245COL700,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
168,1246COL724,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
169,1247COL724,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
170,1254COL700/48,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
171,1254COL884/48,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
172,1254COL900/50,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
173,1255COL774/47,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
174,1256COL700/48,Unisex,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
175,1257COL884,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
176,1262COL700,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
177,1262COL722,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
178,1263COL722,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
179,1263COL958,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
180,1264COL722,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
181,1264COL958,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
182,1265COL700,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
183,1266COLZ83,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
184,1266COLZ86,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
185,1266COLZ88,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
186,1267COLU28,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
187,1267COLZ83,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
188,1268COLU28,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
189,1268COLZ83,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
190,127 COL 881,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,H,1
191,127 COL 9967,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,H,1
192,1270COL700/51,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
193,1272COLV19/48,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
194,1280COLV87,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
195,1280COLZ42,Unisex,Plastic,Classic,Classic,Medium,Not Faulty,Product,G,1
196,1280COLZ88,Unisex,Plastic,Classic,Classic,Medium,Not Faulty,Product,G,1
197,1281COLU28,Unisex,Plastic,Classic,Classic,Medium,Not Faulty,Product,G,1
198,1281COLV87,Unisex,Plastic,Classic,Classic,Medium,Not Faulty,Product,G,1
199,1281COLZ88,Unisex,Plastic,Classic,Classic,Medium,Not Faulty,Product,G,1
200,1284COLU20,Unisex,Plastic,Classic,Classic,Medium,Not Faulty,Product,G,1
201,1284COLV88,Unisex,Plastic,Classic,Classic,Medium,Not Faulty,Product,G,1
202,1284COLZ77,Unisex,Combination,Classic,Classic,Discreet,Not Faulty,Product,G,1
203,1285COLV88,Unisex,Combination,Classic,Classic,Discreet,Not Faulty,Product,G,1
204,1285COLV94,Unisex,Combination,Classic,Classic,Discreet,Not Faulty,Product,G,1
205,1286MCOL200,Unisex,Combination,Classic,Classic,Discreet,Not Faulty,Product,G,1
206,1286MCOL700,Unisex,Combination,Classic,Classic,Discreet,Not Faulty,Product,G,1
207,1286MCOL705S,Unisex,Plastic,Classic,Classic,Discreet,Not Faulty,Product,G,1
208,1286MCOL958,Unisex,Plastic,Classic,Classic,Discreet,Not Faulty,Product,G,1
209,1287MCOL200,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
210,1287MCOL568,Unisex,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
211,1287MCOL700,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
212,1287MCOL710,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
213,1287MCOL955,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
214,1287MCOLV07S,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
215,1291MCOL885,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
216,1292MCOL700,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
217,1292MCOL722,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
218,1293COL700,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
219,1293COL722,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
220,1293COLV67,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
221,1294COL700,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
222,1294COL703,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
223,1294COL703Y,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
224,1294COL722,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
225,1294COLV67,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
226,1295COL700,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
227,1295COL722,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
228,1295COLV67,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
229,1296COL700,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
230,1296COL739,Unisex,Combination,Fashion /Classic,Fashion,Very Discreet,Not Faulty,Product,G,1
231,1296COL824,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
232,1297COL703,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
233,1297COL963,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
234,1297COLZ42X,Unisex,Combination,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
235,1297COLZ42Y,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
236,1299COL700,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
237,1299COL955,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
238,1299COL958,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
239,1300COL700,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
240,1300COL958,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
241,1313COL700,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
242,1313COL722,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
243,1314COL700,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
244,1319COLT80,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
245,1319COLU28,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
246,1319COLV87,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
247,1320MCOLT35/47,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
248,1321MCOL700/50,Unisex,Plastic,Fashion /Classic,Fashion,Very Discreet,Not Faulty,Product,G,1
249,1322MCOLT35/49,Unisex,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
250,1326MCOL700,Unisex,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
251,1326MCOL700X,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
252,1326MCOL722,Unisex,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
253,1329MCOLT35/50,Unisex,Plastic,Fashion /Classic,Classic,Medium,Not Faulty,Product,G,1
254,1330MCOLT34/50,Unisex,Plastic,Fashion /Classic,Fashion,Medium,Not Faulty,Product,G,1
255,1332COL824,Unisex,Plastic,Fashion /Classic,Classic,Medium,Not Faulty,Product,G,1
256,1332COLT19,Unisex,Plastic,Fashion /Classic,Fashion,Medium,Not Faulty,Product,G,1
257,1332COLU28,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
258,1332COLZ42,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
259,1333COLT17,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
260,1333COLT80,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
261,1333COLU28,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
262,1334COL824,Unisex,Plastic,Fashion,Classic,Very Discreet,Not Faulty,Product,E,1
263,1338COL700/45,Unisex,Plastic,Fashion,Classic,Very Discreet,Not Faulty,Product,G,1
264,1338COLT53/45,Unisex,Plastic,Fashion,Classic,Very Discreet,Not Faulty,Product,G,1
265,1338COLT71/45,Unisex,Plastic,Fashion,Classic,Very Discreet,Not Faulty,Product,G,1
266,1339COL700/45,Unisex,Plastic,Fashion,Classic,Very Discreet,Not Faulty,Product,G,1
267,1339COL700/47,Unisex,Plastic,Fashion,Classic,Very Discreet,Not Faulty,Product,G,1
268,1339COLT53/45,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
269,1341MCOL700,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
270,1341MCOLT95,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
271,1341MCOLV85,Unisex,Plastic,Sporty-Classic,Classic,Very Discreet,Not Faulty,Product,G,1
272,1343MCOL700,Unisex,Plastic,Sporty-Classic,Classic,Very Discreet,Not Faulty,Product,G,1
273,1344MCOL700,Unisex,Plastic,Sporty-Classic,Classic,Very Discreet,Not Faulty,Product,G,1
274,1344MCOLT95,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
275,1347MCOL700,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
276,1347MCOLV85,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
277,1350COL760S,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
278,1350MCOL608,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
279,1350MCOL700,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
280,1350MCOL703,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
281,1350MCOL880,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
282,1352COLB01,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
283,1352COLB02,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
284,1352COLB81,Unisex,Plastic,Fashion /Classic,Classic,Very Discreet,Not Faulty,Product,G,1
285,1352COLB82,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
286,1352COLB83,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
287,1352COLJ96,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
288,1353COL700,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
289,1353COL704,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
290,1354COL700,Unisex,Plastic,N/A,N/A,N/A,N/A,Product,G,1
291,1354COL704,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
292,1354COL958,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
293,1354COLV67,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
294,1355COLT02,Female,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
295,1355COLV87,Female,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
296,1355COLW74,Female,Plastic,Fashion /Classic,Fashion,Discreet,Not Faulty,Product,G,1
297,1355COLW83,Female,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
298,1355COLW85,Female,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
299,1356COLU28,Female,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
300,1356COLW74,Female,Plastic,Fashion /Classic,Classic,Discreet,Not Faulty,Product,G,1
301,1356COLW75,Female,Plastic,Fashion /Classic,Fashion,Discreet,Not Faulty,Product,G,1
302,1356COLW84,Unisex,Plastic,Sporty-Classic,Fashion,Very Discreet,Not Faulty,Product,G,1
303,1357COLT17,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
304,1357COLZ42Y,Unisex,Plastic,Sporty-Classic,Fashion,Very Discreet,Not Faulty,Product,G,1
305,1358COL880,Unisex,Plastic,Sporty-Classic,Classic,Very Discreet,Not Faulty,Product,G,1
306,1358COLT17,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
307,1358COLW88,Unisex,Plastic,Sporty-Classic,Classic,Very Discreet,Not Faulty,Product,G,1
308,1358COLZ42,Unisex,Plastic,Sporty-Fashion,Fashion,Very Discreet,Not Faulty,Product,G,1
309,1358COLZ42Y,Unisex,Plastic,Sporty-Classic,Fashion,Very Discreet,Not Faulty,Product,G,1
310,1359COLW88,Unisex,Plastic,Sporty-Fashion,Fashion,Very Discreet,Not Faulty,Product,G,1
311,1366COL700,Unisex,Plastic,Sporty-Fashion,Classic,Very Discreet,Not Faulty,Product,G,1
312,1369COL880,Unisex,Plastic,Sporty-Fashion,Fashion,Very Discreet,Not Faulty,Product,G,1
313,1369COLT17,Unisex,Plastic,Sporty-Fashion,Fashion,Very Discreet,Not Faulty,Product,G,1
314,1369COLU28,Unisex,Plastic,Fashion /Classic,Classic,Medium,Not Faulty,Product,G,1
315,1369COLU28Y,Unisex,Plastic,Sporty-Fashion,Fashion,Very Discreet,Not Faulty,Product,G,1
316,1369COLW04,Unisex,Plastic,Fashion /Classic,Fashion,Medium,Not Faulty,Product,G,1
317,1369COLW74,Unisex,Plastic,Fashion /Classic,Classic,Medium,Not Faulty,Product,G,1
318,1369COLW83,Unisex,Plastic,Fashion /Classic,Fashion,Medium,Not Faulty,Product,G,1
